2026-05-20 18:37:39.380 [Form1.cs:182] Application startup
2026-05-20 19:14:25.436 [PortIO.cs:29] OpenPort result:True
2026-05-20 19:14:25.441 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-20 19:37:11.585 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:37:11.586 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-05-20 19:37:11.600 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:37:11.601 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-05-20 19:37:12.114 [PortIO.cs:70] ClosePort result:success
2026-05-20 19:43:45.133 [PortIO.cs:29] OpenPort result:True
2026-05-20 19:43:45.134 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-20 19:43:45.148 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:43:45.150 [PortIO.cs:43] WritePort result:True | Data: 41542B434C4F5544545950453D330D0A
2026-05-20 19:43:45.164 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:43:45.166 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545455524C3D31302E31332E3133332E3131350D0A
2026-05-20 19:43:45.228 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:43:45.231 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454504F52543D393838330D0A
2026-05-20 19:43:45.243 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:43:45.244 [PortIO.cs:43] WritePort result:True | Data: 41542B4D5154544445564943454E414D453D757365720D0A
2026-05-20 19:43:45.259 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:43:45.262 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545444455649434549443D3131313232323535350D0A
2026-05-20 19:43:45.275 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:43:45.278 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450415353574F52443D757365723132330D0A
2026-05-20 19:43:45.306 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:43:45.309 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454544F5049433D2F7379732F3131313232323535352F757365722F646174612C2F7379732F3131313232323535352F757365722F7374617475730D0A
2026-05-20 19:43:45.322 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:43:45.324 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450494E473D31300D0A
2026-05-20 19:43:45.338 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:43:45.339 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-05-20 19:43:45.353 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 19:43:45.354 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-05-20 19:43:45.863 [PortIO.cs:70] ClosePort result:success
2026-05-20 20:38:06.697 [PortIO.cs:29] OpenPort result:True
2026-05-20 20:38:06.699 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-20 20:38:06.713 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 20:38:06.714 [PortIO.cs:43] WritePort result:True | Data: 41542B434C4F5544545950453D330D0A
2026-05-20 20:38:06.729 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 20:38:06.731 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545455524C3D31302E31332E3133332E3131350D0A
2026-05-20 20:38:06.744 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
