2026-05-09 16:34:04.311 [Form1.cs:182] Application startup
2026-05-09 16:34:27.146 [PortIO.cs:29] OpenPort result:True
2026-05-09 16:34:27.150 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-09 16:34:27.176 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:34:27.178 [PortIO.cs:43] WritePort result:True | Data: 41542B57494649535349443D225468696E636C6162222C22496E6E6F766174696F6E32303137220D0A
2026-05-09 16:34:27.191 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:34:27.193 [PortIO.cs:43] WritePort result:True | Data: 41542B574946494E49503D310D0A
2026-05-09 16:34:27.207 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:34:27.208 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-05-09 16:34:27.223 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:34:27.225 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-05-09 16:34:27.735 [PortIO.cs:70] ClosePort result:success
2026-05-09 16:35:07.769 [PortIO.cs:29] OpenPort result:True
2026-05-09 16:35:07.770 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-09 16:35:07.784 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:35:07.785 [PortIO.cs:43] WritePort result:True | Data: 41542B434C4F5544545950453D330D0A
2026-05-09 16:35:07.800 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:35:07.800 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545455524C3D3130312E3230312E3231322E3232350D0A
2026-05-09 16:35:07.816 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:35:07.817 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454504F52543D393838330D0A
2026-05-09 16:35:07.832 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:35:07.833 [PortIO.cs:43] WritePort result:True | Data: 41542B4D5154544445564943454E414D453D757365720D0A
2026-05-09 16:35:07.863 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:35:07.864 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545444455649434549443D3131313232323333330D0A
2026-05-09 16:35:07.878 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:35:07.879 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450415353574F52443D757365723132330D0A
2026-05-09 16:35:07.894 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:35:07.895 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454544F5049433D2F7379732F3131313232323333332F757365722F646174612C2F7379732F3131313232323333332F757365722F7374617475730D0A
2026-05-09 16:35:07.909 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:35:07.910 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450494E473D3138300D0A
2026-05-09 16:35:07.986 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:35:07.988 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-05-09 16:35:08.003 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:35:08.004 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-05-09 16:35:08.517 [PortIO.cs:70] ClosePort result:success
2026-05-09 16:41:00.609 [PortIO.cs:29] OpenPort result:True
2026-05-09 16:41:00.611 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-09 16:41:00.625 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:41:00.626 [PortIO.cs:43] WritePort result:True | Data: 41542B434C4F5544545950453D330D0A
2026-05-09 16:41:00.641 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:41:00.642 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545455524C3D3130312E3230312E3231322E3232350D0A
2026-05-09 16:41:00.656 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:41:00.657 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454504F52543D393838330D0A
2026-05-09 16:41:00.672 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:41:00.673 [PortIO.cs:43] WritePort result:True | Data: 41542B4D5154544445564943454E414D453D757365720D0A
2026-05-09 16:41:00.688 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:41:00.689 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545444455649434549443D3131313232323434340D0A
2026-05-09 16:41:00.766 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:41:00.767 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450415353574F52443D757365723132330D0A
2026-05-09 16:41:00.798 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:41:00.800 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454544F5049433D2F7379732F3131313232323434342F757365722F646174612C2F7379732F3131313232323434342F757365722F7374617475730D0A
2026-05-09 16:41:00.876 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-09 16:41:00.877 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450494E473D3138300D0A
