2026-04-29 17:43:41.311 [Form1.cs:182] Application startup
2026-04-29 17:44:02.870 [PortIO.cs:29] OpenPort result:True
2026-04-29 17:44:02.876 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-04-29 17:44:02.902 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-04-29 17:44:02.905 [PortIO.cs:43] WritePort result:True | Data: 41542B57494649535349443D225468696E636C6162222C22496E6E6F766174696F6E32303137220D0A
2026-04-29 17:44:02.918 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-04-29 17:44:02.919 [PortIO.cs:43] WritePort result:True | Data: 41542B574946494E49503D310D0A
2026-04-29 17:44:02.950 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-04-29 17:44:02.951 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-04-29 17:44:02.966 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-04-29 17:44:02.969 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-04-29 17:44:03.485 [PortIO.cs:70] ClosePort result:success
2026-04-29 18:21:50.561 [PortIO.cs:29] OpenPort result:True
2026-04-29 18:21:50.564 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-04-29 18:21:50.577 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-04-29 18:21:50.578 [PortIO.cs:43] WritePort result:True | Data: 41542B434C4F5544545950453D330D0A
2026-04-29 18:21:50.592 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-04-29 18:21:50.594 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545455524C3D613271734E7355665278552E696F742D61732D6D7174742E61702D736F757468656173742D312E616C6979756E63732E636F6D0D0A
2026-04-29 18:21:50.671 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-04-29 18:21:50.672 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454504F52543D313838330D0A
2026-04-29 18:21:50.686 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-04-29 18:21:50.687 [PortIO.cs:43] WritePort result:True | Data: 41542B4D5154544445564943454E414D453D696F742D746573743126613271734E7355665278550D0A
2026-04-29 18:21:50.764 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
