2026-05-08 14:01:05.338 [Form1.cs:182] Application startup
2026-05-08 14:01:34.720 [PortIO.cs:29] OpenPort result:True
2026-05-08 14:01:34.725 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-08 14:01:34.752 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 14:01:34.753 [PortIO.cs:43] WritePort result:True | Data: 41542B57494649535349443D225468696E636C6162222C22496E6E6F766174696F6E32303137220D0A
2026-05-08 14:01:34.767 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 14:01:34.768 [PortIO.cs:43] WritePort result:True | Data: 41542B574946494E49503D310D0A
2026-05-08 14:01:34.783 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 14:01:34.784 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-05-08 14:01:34.798 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 14:01:34.799 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-05-08 14:01:35.314 [PortIO.cs:70] ClosePort result:success
2026-05-08 15:14:32.145 [PortIO.cs:29] OpenPort result:True
2026-05-08 15:14:32.148 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-08 15:14:32.161 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 15:14:32.162 [PortIO.cs:43] WritePort result:True | Data: 41542B434C4F5544545950453D330D0A
2026-05-08 15:14:32.224 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 15:14:32.225 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545455524C3D3130312E3230312E3231322E323235200D0A
2026-05-08 15:14:32.301 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 15:14:32.302 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454504F52543D393838330D0A
2026-05-08 15:14:32.380 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 15:14:32.381 [PortIO.cs:43] WritePort result:True | Data: 41542B4D5154544445564943454E414D453D757365720D0A
2026-05-08 15:14:32.457 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 15:14:32.458 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545444455649434549443D3131313232323333330D0A
2026-05-08 15:14:32.535 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 15:14:32.536 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450415353574F52443D757365723132330D0A
2026-05-08 15:14:32.626 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 15:14:32.627 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454544F5049433D2F7379732F3131313232323333332F757365722F646174612C3A202F7379732F3131313232323333332F757365722F7374617475730D0A
2026-05-08 15:14:32.704 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 15:14:32.705 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450494E473D310D0A
2026-05-08 15:14:32.720 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 15:14:32.721 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-05-08 15:14:32.736 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 15:14:32.738 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-05-08 15:14:33.253 [PortIO.cs:70] ClosePort result:success
2026-05-08 20:28:36.898 [PortIO.cs:29] OpenPort result:True
2026-05-08 20:28:36.901 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-08 20:28:36.914 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 20:28:36.915 [PortIO.cs:43] WritePort result:True | Data: 41542B434C4F5544545950453D330D0A
2026-05-08 20:28:36.930 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 20:28:36.932 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545455524C3D3130312E3230312E3231322E323235200D0A
2026-05-08 20:28:36.946 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 20:28:36.947 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454504F52543D393838330D0A
2026-05-08 20:28:36.962 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 20:28:36.962 [PortIO.cs:43] WritePort result:True | Data: 41542B4D5154544445564943454E414D453D757365720D0A
2026-05-08 20:28:36.978 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 20:28:36.979 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545444455649434549443D3131313232323333330D0A
2026-05-08 20:28:36.993 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 20:28:36.994 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450415353574F52443D757365723132330D0A
2026-05-08 20:28:37.009 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 20:28:37.010 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454544F5049433D2F7379732F3131313232323333332F757365722F646174612C2F7379732F3131313232323333332F757365722F7374617475730D0A
2026-05-08 20:28:37.088 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 20:28:37.089 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450494E473D310D0A
2026-05-08 20:28:37.119 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 20:28:37.121 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-05-08 20:28:37.135 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 20:28:37.136 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-05-08 20:28:37.648 [PortIO.cs:70] ClosePort result:success
2026-05-08 21:32:48.217 [PortIO.cs:29] OpenPort result:True
2026-05-08 21:32:48.219 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-08 21:32:48.233 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 21:32:48.234 [PortIO.cs:43] WritePort result:True | Data: 41542B434C4F5544545950453D330D0A
2026-05-08 21:32:48.249 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 21:32:48.250 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545455524C3D3130312E3230312E3231322E323235200D0A
2026-05-08 21:32:48.264 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 21:32:48.264 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454504F52543D393838330D0A
2026-05-08 21:32:48.279 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 21:32:48.280 [PortIO.cs:43] WritePort result:True | Data: 41542B4D5154544445564943454E414D453D757365720D0A
2026-05-08 21:32:48.294 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 21:32:48.295 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545444455649434549443D3131313232323333330D0A
2026-05-08 21:32:48.310 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 21:32:48.311 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450415353574F52443D757365723132330D0A
2026-05-08 21:32:48.342 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 21:32:48.343 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454544F5049433D2F7379732F3131313232323333332F757365722F646174612C2F7379732F3131313232323333332F757365722F7374617475730D0A
2026-05-08 21:32:48.358 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 21:32:48.359 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450494E473D310D0A
2026-05-08 21:32:48.374 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 21:32:48.376 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-05-08 21:32:48.390 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-08 21:32:48.391 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-05-08 21:32:48.896 [PortIO.cs:70] ClosePort result:success
